1,省份,运营商,CDN节点名称（机房）,带宽（M）,可用带宽（M）,保底（M）,备注
89,山东省,联通,山东联通东营市机房,20000,20000,8000,


90,山东省,电信,山东省济南市中国电信天桥数据中心,30000,30000,1000,


91,山东省,电信,淄博电信IDC高创园机房 ,20000,20000,6000,


92,山东省,联通,山东联通烟台开发区机房,10000,10000,4000,


93,山东省,移动,山东青岛移动浮山路机房,30000,30000,9000,


94,山东省,三线,山东省济南市天桥三线机房,每条线路 20000,每条线路 20000,每条线路 1000,


95,山东省,移动,山东济南移动开发区数据中心,30000,30000,3000,撤点


96,河南省,移动,河南移动新乡火炬园机房,20000,20000,2000,


97,河南省,电信,河南电信新乡火炬园机房,10000,10000,0, 撤点


98,河南省,电信,河南电信郑州西开发区IDC机房 ,10000,10000,4000,


99,河南省,移动,河南移动郑州西区机房,20000,20000,4000,


100,河南省,电信,河南电信洛阳景安机房,20000,20000,4000,


101,河南省,联通,河南联通鹤壁机房,10000,10000,5000,


102,河南省,联通,河南联通信阳IDC机房 ,10000,10000,3000,


103,河南省,联通,河南联通南阳枢纽大楼机房,20000,20000,8000,


104,湖北省,移动,湖北移动武汉金银湖机房,20000,,6000,


105,湖北省,移动,湖北移动襄阳云计算中心机房 ,10000,10000,0,


106,湖北省,电信,湖北电信荆州南门机房,30000,30000,9000,


107,湖北省,联通,湖北联通鄂州数据中心机房,10000,10000,2000,撤点


108,湖北省,电信,湖北宜昌电信44局6楼IDC机房,10000,10000,4000,


109,湖北省,联通,湖北联通荆州机房,10000,10000,4000,


110,湖北省,教育,湖北教育武汉机房,1000,1000,300,


111,湖北省,电信,湖北电信随州新大楼IDC机房,20000,20000,6000,


112,湖南省,联通,湖南联通长沙马王堆路机房,10000,10000,3000,


113,湖南省,联通,湖南联通湘潭综合楼机房,10000,10000,3000,


114,湖南省,电信,湖南电信衡阳蒸湘北路机房,10000,10000,4000,


115,湖南省,电信,湖南电信岳阳白石岭IDC机房 ,10000,10000,4000,


116,湖南省,移动,湖南移动长沙东片区机楼IDC机房,20000,20000,6000,


117,湖南省,广电,湖南广电,10000,10000,0,


118,广东省,移动,广州移动中能机房,10000,10000,2000,


119,广东省,电信,广东电信佛山南海平洲双线机房,4000,4000,0,


120,广东省,联通,广东联通珠海九州大道机房,10000,5000,3000,


121,广东省,移动,东莞移动,30000,30000,12000,


122,广东省,电信,广州市海珠区江南大道南1008号电信机房,20000,20000,3000,2017.6.3切量


123,广东省,电信,广东电信佛山拥翠路机房,60000,60000,30000,


124,广东省,移动,广东移动广州南方基地数据中心（汉启）,20000,20000,6000,


125,广东省,长宽,广东佛山长宽快灵通数据中心,10000,10000,0,


126,广东省,联通,东莞联通松山湖机房,10000,10000,4000,


127,广东省,BGP,广州华新园BGP机房,0.3,0.3,0.2,


128,广东省,电信,广东电信汕尾香洲机房,30000,30000,12000,


129,广东省,电信,广东电信东莞东城枫桦园数据中心 ,30000,30000,6000,


130,广东省,联通,深圳天威机房（联通）,3000,3000,0,


131,广东省,联通,广东联通梅州邮政机房,10000,10000,4000,


132,广东省,联通,广东联通广州云数据中心机房,10000,10000,0,


133,广东省,长宽,广东长宽广州云计算中心机房,10000,10000,0,


134,广西省,电信,广西电信南宁二枢纽机房,30000,30000,12000,


135,广西省,电信,广西电信南宁二枢纽机房,40000,40000,16000,


136,广西省,移动,广西移动南宁五象IDC机房,20000,20000,2000,


137,海南省,电信,海南电信海口凤翔机房,20000,18000,6000,


138,四川省,移动,四川移动IDC东区201机房,30000,30000,3000,


139,四川省,电信,四川电信德阳珠江东路机房,30000,30000,13500,


140,四川省,联通,四川联通自贡明珠核心机房,10000,10000,1000,


141,四川省,电信,四川电信宜宾IDC机房,10000,10000,3000,


142,四川省,移动,四川移动德阳庐山南路机房,10000,10000,0,


143,四川省,移动,四川移动IDC西区302机房,10000,10000,1000,


144,四川省,联通,四川联通德阳IDC机房,10000,10000,1000,


145,贵州省,电信,贵州电信贵阳信息园机房,10000,10000,4000,


146,云南省,电信,云南电信昆明经开路机房,30000,30000,6000,


147,云南省,电信,云南电信昆明经开路机房,30000,30000,9000,


148,云南省,电信,云南电信昆明经开路机房,20000,20000,6000,


149,云南省,联通,云南联通昆明安宁IDC机房 ,20000,20000,6000,


150,云南省,移动,云南移动昆明高新IDC机房,30000,30000,3000,


151,陕西省,联通,陕西联通西咸数据中心,10000,6000,0,


152,陕西省,电信,陕西电信汉中市前进中路机房,20000,20000,0,1、2017.6.1开始使用2、流量超过2G，免机柜费用


153,陕西省,移动,陕西移动西安高新机房,10000,8000,0,


154,陕西省,电信,陕西电信咸阳云计算机房,50000,50000,20000,


155,陕西省,移动,陕西移动西安锦业路IDC机房,10000,10000,4000,


156,陕西省,广电,陕西咸阳广电机房机房,4000,4000,0,


157,甘肃省,电信,甘肃兰州云数据中心,20000,14000,6000,


158,甘肃省,移动,甘肃移动兰州新区西北大数据产业园,10000,10000,0,


159,新疆省,电信,新疆电信河北东路机房,100,100,100,


160,新疆省,移动,中国移动（新疆）云计算和大数据中,20000,20000,0,


161,山西省,电信,山西电信太原市机房,20000,15000,6000,


162,山西省,联通,山西联通长治市机房,10000,10000,2000,


163,山西省,联通,山西联通太原二枢纽机房,15000,15000,0,


164,西藏省,联通,拉萨联通机房,100,100,100,


